53 300
Amman 31.963158 35.930359
Argentina -34.603722 -58.381592
BuenosAires -34.603722 -58.381592
Canberra -35.282000 149.128684
Vienna 48.2081743 16.3738189
Brussels 50.8503396 4.3517103
Brasília -15.7942 -47.8825
Sofia 42.697708 23.321868
Ottawa 45.4215296 -75.6971930
Santiago -33.448890 -70.669265
Beijing 39.9042 116.4074
Bogotá 4.7109885 -74.072092
Zagreb 45.8150108 15.9819189
Prague 50.08804 14.42076
Copenhagen 55.6760968 12.5683372
Cairo 30.044420 31.235712
Helsinki 60.1698557 24.9383791
Paris 48.8566 2.3522
Berlin 52.52 13.405
Athens 37.983917 23.729360
Nuuk 94.1835 -51.7216
Budapest 47.497912 19.040235
NewDelhi 28.6139 77.2090
Jakarta -6.175110 106.865036
Tehran 35.696111 51.423056
Dublin 53.3498053 -6.2603097
Rome 41.9 12.5
Tokyo 35.6895 139.6917
Nairobi -1.292066 36.821946
KualaLumpur 3.139003 101.686855
MexicoCity 19.432608 -99.133208
Podgorica 42.442575 19.268646
Amsterdam 52.3745403 4.89797550
Abuja 9.081999 8.675277
Oslo 59.9138204 10.752245
Jerusalem 31.771959 35.217018
Lima -12.046374 -77.042793
Warsaw 52.22977 21.01178
Lisbon 35.7222524 -9.1393366
Bucharest 44.4267674 26.1025384
Moscow 55.7558 37.6173
Belgrade 44.786568 20.4489216
Bratislava 48.1481601 17.1067694
Ljubljana 46.0569465 14.5057515
Pretoria -33.918861 18.423300
Seoul 37.566535 126.9779692
Madrid 36.4168 -3.7033
Stockholm 59.3293235 18.0685808
Bern 46.9479739 7.4474468
Bangkok 13.7563309 100.5017651
WashingtonDC 38.9072 -77.0369
London 51.507351 -0.127758
Caracas 10.480594 -66.903603
Brussels Lima 1200 800
Nairobi Vienna 700 540
Oslo London 150 120
Jerusalem Cairo 200 90
Nairobi Tehran 600 480
Brasília Amsterdam 900 720
Rome Abuja 800 600
BuenosAires Pretoria 1000 900
Beijing Seoul 300 180
Sofia Abuja 750 720
Cairo Madrid 250 120
KualaLumpur Oslo 850 720
Brussels Warsaw 150 120
Dublin Belgrade 200 150
Sofia Seoul 950 750
Madrid Jakarta 1100 840
Copenhagen WashingtonDC 1200 720
Nuuk Stockholm 500 300
Copenhagen Ottawa 1150 720
Helsinki Bern 400 180
Warsaw Vienna 200 120
Rome Bratislava 250 150
Warsaw Jerusalem 700 480
Rome Santiago 950 780
Budapest Brussels 150 120
Copenhagen Dublin 300 180
MexicoCity Santiago 900 600
Bratislava Berlin 200 120
Paris Brussels 150 90
Nairobi Seoul 1000 900
Brasília Bangkok 1000 840
Bucharest Jakarta 950 780
Paris Helsinki 400 240
Lisbon Madrid 100 60
Dublin Berlin 250 150
Madrid Lisbon 100 60
Belgrade Bucharest 150 90
Athens Sofia 200 120
Caracas Jerusalem 1000 720
Bratislava Beijing 1100 840
Santiago Tokyo 1200 900
Dublin Canberra 1500 1440
Lisbon Canberra 1600 1440
Athens Budapest 300 180
Belgrade Pretoria 1100 900
Brasília Lisbon 800 720
Oslo Bangkok 1200 960
Seoul Bogotá 1100 840
Bucharest Rome 250 120
Brussels Budapest 200 120
Bogotá Tokyo 1300 900
Tehran Ottawa 950 720
Athens Lima 1300 900
Moscow WashingtonDC 1200 720
Pretoria Nuuk 1100 960
Madrid Brasília 950 720
Bern Cairo 850 720
Caracas Canberra 1600 1440
Nairobi KualaLumpur 1100 900
Beijing Madrid 1300 840
Madrid Ottawa 1200 720
Bern Ottawa 1150 720
Vienna Brussels 200 120
Stockholm Prague 250 150
Belgrade Zagreb 150 90
Bangkok BuenosAires 1200 960
Zagreb Bern 400 180
Zagreb Lisbon 300 180
Bogotá Cairo 1000 840
Budapest Madrid 200 150
Berlin Bucharest 200 120
Bucharest Caracas 1200 900
Rome Athens 300 180
Lisbon Sofia 400 240
KualaLumpur Tehran 700 600
Brussels Bogotá 950 720
Nuuk Pretoria 1100 960
Canberra Lima 1500 1440
Bern BuenosAires 1200 900
Brussels Seoul 950 750
Jerusalem Prague 800 600
London Copenhagen 200 120
Bucharest Rome 250 120
Nuuk NewDelhi 1500 1440
Santiago Brasília 800 720
Santiago Warsaw 1000 840
Copenhagen Tehran 900 720
Lisbon Brasília 900 720
Tehran Lima 1000 840
Dublin Zagreb 250 150
Zagreb Moscow 1200 900
Paris Prague 350 180
Santiago Nuuk 1300 900
Berlin Dublin 300 180
Podgorica Jakarta 1100 900
Zagreb Caracas 1200 900
Abuja Lisbon 800 720
Dublin Prague 350 180
NewDelhi Copenhagen 1200 720
Rome Copenhagen 300 180
Madrid Caracas 1100 840
Zagreb Athens 300 180
Santiago Zagreb 800 600
Oslo Bucharest 400 240
Pretoria Warsaw 1100 900
Dublin Bern 350 180
London Tokyo 1400 900
